Name of movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection
The Shawshank Redemption,1994,142,9.3,82,"2,730,732",$28.34M
The Godfather,1972,175,9.2,100,"1,898,634",$134.97M
The Dark Knight,2008,152,9.0,84,"2,703,811",$534.86M
The Lord of the Rings: The Return of the King,2003,201,9.0,94,"1,878,545",$377.85M
Schindler's List,1993,195,9.0,95,"1,378,841",$96.90M
12 Angry Men,1957,96,9.0,97,"807,904",$4.36M
The Godfather Part II,1974,202,9.0,90,"1,294,575",$57.30M
Pulp Fiction,1994,154,8.9,95,"2,098,237",$107.93M
Inception,2010,148,8.8,74,"2,399,862",$292.58M
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"1,907,520",$315.54M
Fight Club,1999,139,8.8,66,"2,173,681",$37.03M
Forrest Gump,1994,142,8.8,82,"2,124,601",$330.25M
The Lord of the Rings: The Two Towers,2002,179,8.8,87,"1,695,887",$342.55M
"Il buono, il brutto, il cattivo",1966,161,8.8,90,"773,991",$6.10M
Jai Bhim,2021,164,8.8,^^^^^^,"205,888",#235
777 Charlie,2022,164,8.8,^^^^^^,"34,360",*****
Rocketry: The Nambi Effect,2022,157,8.8,^^^^^^,"52,749",*****
GoodFellas,1990,145,8.7,91,"1,185,229",$46.84M
The Matrix,1999,136,8.7,73,"1,948,209",$171.48M
One Flew Over the Cuckoo's Nest,1975,133,8.7,84,"1,024,371",$112.00M
The Empire Strikes Back,1980,124,8.7,82,"1,314,693",$290.48M
Soorarai Pottru,2020,153,8.7,^^^^^^,"119,107",*****
Interstellar,2014,169,8.6,74,"1,893,806",$188.02M
Se7en,1995,127,8.6,65,"1,687,958",$100.13M
Star Wars,1977,121,8.6,90,"1,387,102",$322.74M
The Silence of the Lambs,1991,118,8.6,86,"1,460,304",$130.74M
The Green Mile,1999,189,8.6,61,"1,327,828",$136.80M
Sen to Chihiro no kamikakushi,2001,125,8.6,96,"784,076",$10.06M
Terminator 2: Judgment Day,1991,137,8.6,75,"1,118,097",$204.84M
Saving Private Ryan,1998,169,8.6,91,"1,416,808",$216.54M
Cidade de Deus,2002,130,8.6,79,"767,941",$7.56M
La vita è bella,1997,116,8.6,59,"708,004",$57.60M
Shichinin no samurai,1954,207,8.6,98,"351,449",$0.27M
It's a Wonderful Life,1946,130,8.6,89,"470,273",#20
Seppuku,1962,133,8.6,85,"60,314",#45
Sita Ramam,2022,163,8.6,^^^^^^,"58,750",*****
Alien,1979,117,8.5,89,"898,953",$78.90M
Gladiator,2000,155,8.5,67,"1,528,398",$187.71M
Whiplash,2014,106,8.5,89,"896,194",$13.09M
Gisaengchung,2019,132,8.5,96,"844,549",$53.37M
The Departed,2006,151,8.5,85,"1,349,608",$132.38M
Back to the Future,1985,116,8.5,87,"1,231,450",$210.61M
Léon,1994,110,8.5,64,"1,183,143",$19.50M
The Prestige,2006,130,8.5,66,"1,357,939",$53.09M
Psycho,1960,109,8.5,97,"684,287",$32.00M
The Lion King,1994,88,8.5,88,"1,079,369",$422.78M
Apocalypse Now,1979,147,8.5,94,"679,408",$83.47M
The Pianist,2002,150,8.5,85,"850,845",$32.57M
American History X,1998,119,8.5,62,"1,139,101",$6.72M
The Usual Suspects,1995,106,8.5,77,"1,100,492",$23.34M
Casablanca,1942,102,8.5,100,"581,244",$1.02M
Once Upon a Time in the West,1968,165,8.5,82,"335,740",$5.32M
The Intouchables,2011,112,8.5,57,"877,012",$13.18M
Hotaru no haka,1988,89,8.5,94,"285,340",#44
Rear Window,1954,112,8.5,100,"499,953",$36.76M
Nuovo Cinema Paradiso,1988,155,8.5,80,"266,987",$11.99M
Modern Times,1936,87,8.5,96,"247,235",$0.16M
Kaithi,2019,145,8.5,^^^^^^,"35,553",*****
City Lights,1931,87,8.5,99,"187,841",$0.02M
96,II 2018,158,8.5,^^^^^^,"32,897",*****
Avengers: Endgame,2019,181,8.4,78,"1,169,126",$858.37M
Joker,I 2019,122,8.4,59,"1,340,948",$335.45M
Kimi no na wa.,2016,106,8.4,79,"282,436",$5.02M
Spider-Man: Into the Spider-Verse,2018,117,8.4,87,"555,759",$190.24M
The Shining,1980,146,8.4,66,"1,043,599",$44.02M
Django Unchained,2012,165,8.4,81,"1,590,268",$162.81M
Raiders of the Lost Ark,1981,115,8.4,85,"982,165",$248.16M
Oldeuboi,2003,120,8.4,77,"592,790",$0.71M
The Dark Knight Rises,2012,164,8.4,78,"1,733,641",$448.14M
Aliens,1986,137,8.4,84,"729,498",$85.16M
Avengers: Infinity War,2018,149,8.4,68,"1,113,482",$678.82M
Idi i smotri,1985,142,8.4,^^^^^^,"84,726",#92
Memento,2000,113,8.4,81,"1,258,380",$25.54M
Braveheart,1995,178,8.4,68,"1,052,177",$75.60M
Amadeus,1984,160,8.4,88,"408,255",$51.97M
Coco,I 2017,105,8.4,81,"528,873",$209.73M
WALL·E,2008,98,8.4,95,"1,137,071",$223.81M
The Lives of Others,2006,137,8.4,89,"395,371",$11.29M
3 Idiots,2009,170,8.4,67,"408,957",$6.53M
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97,"498,534",$0.28M
Capharnaüm,2018,126,8.4,75,"94,123",$1.66M
Sunset Blvd.,1950,110,8.4,94,"225,954",#59
Das Boot,1981,149,8.4,86,"254,742",$11.49M
Witness for the Prosecution,1957,116,8.4,76,"128,803",$8.18M
Paths of Glory,1957,88,8.4,90,"201,433",#60
The Great Dictator,1940,125,8.4,^^^^^^,"227,812",$0.29M
Tengoku to jigoku,1963,143,8.4,90,"47,356",#86
Sardar Udham,2021,164,8.4,^^^^^^,"43,819",*****
Asuran,2019,141,8.4,^^^^^^,"30,969",*****
Drishyam 2,2021,152,8.4,^^^^^^,"38,821",*****
Top Gun: Maverick,2022,130,8.3,78,"573,027",$718.73M
Good Will Hunting,1997,126,8.3,70,"997,322",$138.43M
Inglourious Basterds,2009,153,8.3,69,"1,483,268",$120.54M
Heat,1995,170,8.3,76,"669,891",$67.44M
Requiem for a Dream,2000,102,8.3,71,"857,993",$3.64M
American Beauty,1999,122,8.3,84,"1,169,973",$130.10M
A Clockwork Orange,1971,136,8.3,77,"844,395",$6.21M
Scarface,1983,170,8.3,65,"860,933",$45.60M
Full Metal Jacket,1987,116,8.3,78,"755,327",$46.36M
2001: A Space Odyssey,1968,149,8.3,84,"682,058",$56.95M
